Number,Time (h)
38094,7.853888888888889
41418,7.854166666666667
5810,7.854444444444445
31957,7.856111111111111
12872,7.856388888888889
1151,7.856944444444444
39856,7.8575
24459,7.858333333333333
35305,7.858611111111111
3974,7.858611111111111
33739,7.858888888888889
35303,7.858888888888889
34825,7.860277777777778
39552,7.860833333333334
30931,7.860833333333334
39942,7.861111111111111
32625,7.861111111111111
1149,7.8613888888888885
12560,7.8630555555555555
13638,7.8630555555555555
12912,7.8630555555555555
39677,7.863611111111111
12428,7.863888888888889
11614,7.864166666666667
38720,7.864722222222222
40940,7.865555555555556
13957,7.865555555555556
32245,7.865555555555556
20506,7.8661111111111115
40462,7.866666666666667
41718,7.866944444444444
45651,7.867222222222222
52618,7.867222222222222
52632,7.867222222222222
17267,7.8675
36526,7.8677777777777775
15665,7.8677777777777775
36528,7.868055555555555
32743,7.868055555555555
36524,7.868333333333333
20399,7.868333333333333
35088,7.868888888888889
45616,7.868888888888889
35682,7.869166666666667
5733,7.869166666666667
41682,7.869166666666667
35521,7.869166666666667
36698,7.8694444444444445
36165,7.869722222222222
32981,7.870833333333334
16082,7.870833333333334
39114,7.871111111111111
33359,7.873611111111111
33336,7.8741666666666665
21111,7.874722222222222
21462,7.8758333333333335
20657,7.876388888888889
30484,7.878055555555555
20713,7.878333333333334
38008,7.878611111111111
33088,7.881388888888889
13629,7.881388888888889
35318,7.881666666666667
24900,7.881944444444445
40445,7.8825
51569,7.8825
29823,7.8825
13221,7.883055555555556
15122,7.883611111111112
39486,7.8838888888888885
45881,7.8838888888888885
31888,7.884166666666666
36468,7.884444444444444
14504,7.884444444444444
21204,7.884722222222222
34646,7.885277777777778
36617,7.885555555555555
34649,7.885555555555555
28319,7.885555555555555
13706,7.886388888888889
40048,7.886666666666667
20804,7.8869444444444445
34058,7.8875
11912,7.8875
34057,7.887777777777778
5711,7.888055555555556
11964,7.888333333333334
4041,7.8886111111111115
5977,7.8886111111111115
30168,7.889166666666666
33981,7.889444444444444
5218,7.889722222222222
38408,7.890555555555555
34939,7.890833333333333
40458,7.891111111111111
15543,7.891666666666667
37289,7.891666666666667
13777,7.8925
28302,7.8925
30223,7.8925
39824,7.892777777777778
3196,7.893055555555556
37070,7.893055555555556
38110,7.8933333333333335
30182,7.893611111111111
13382,7.893888888888889
13762,7.893888888888889
13417,7.893888888888889
15644,7.893888888888889
13308,7.894166666666667
29715,7.894722222222223
29716,7.895
36452,7.895277777777777
25605,7.895277777777777
32994,7.896388888888889
16343,7.896388888888889
15206,7.8966666666666665
11536,7.896944444444444
37732,7.8975
35598,7.897777777777778
31377,7.898888888888889
14097,7.899166666666667
24775,7.899166666666667
31773,7.899444444444445
1449,7.9
37824,7.9
36472,7.900277777777778
13508,7.900277777777778
38268,7.900833333333333
1023,7.900833333333333
36314,7.901111111111111
15146,7.901111111111111
33119,7.901388888888889
16066,7.901388888888889
36238,7.901944444444444
36297,7.902222222222222
40135,7.9025
16036,7.903333333333333
40273,7.904444444444445
11334,7.904444444444445
21030,7.904722222222222
37267,7.904722222222222
37453,7.905277777777778
27125,7.905277777777778
4787,7.905833333333334
41618,7.906111111111111
13492,7.906388888888889
40893,7.906944444444444
540,7.907222222222222
1428,7.907222222222222
13394,7.907222222222222
38074,7.9075
14685,7.9075
21414,7.9075
15349,7.907777777777778
1334,7.908333333333333
21487,7.908888888888889
15432,7.909722222222222
5962,7.91
33041,7.910833333333334
21200,7.911388888888889
30119,7.911388888888889
36209,7.911944444444444
27323,7.912222222222223
4148,7.9125
14949,7.9127777777777775
15010,7.9127777777777775
1169,7.913055555555555
30474,7.913055555555555
13070,7.913055555555555
41415,7.913333333333333
5568,7.913333333333333
33250,7.914722222222222
33253,7.914722222222222
31444,7.914722222222222
46022,7.915555555555556
24693,7.9175
35527,7.918611111111111
40611,7.918611111111111
16299,7.9191666666666665
3740,7.9191666666666665
39263,7.919444444444444
21378,7.919444444444444
14185,7.919722222222222
19178,7.919722222222222
20130,7.919722222222222
36339,7.92
39738,7.92
13248,7.920277777777778
31100,7.920277777777778
40409,7.920555555555556
13720,7.920555555555556
